"state","place","TotalPop","Male","Female","White","NonHispanic","USCitizen","Commute_DriveAlone","Family_Married","EnrolledSchool_Over3Yrs","Education_Bachelors","Eduction_GraduateProf","Household_English","PovertyLvl_2andOver","NonVeteran","Employed","NotLaborForce","House_OwnerOccupied","House_Built80to99","HealthIns_Covered"
"Florida","Mount Dora city",19819,0.521570210404158,0.478429789595842,NA,0.702255411473838,0.976941318936374,0.349563550128664,0.272566728896513,NA,0.149957111862354,0.164841818457036,0.308592764518896,0.808668449467683,0.767748120490439,0.496997830364801,0.346687522074777,0.29517130026742,0.134769665472526,0.475452848276906
"Florida","Nocatee CDP",24101,0.521513630139828,0.478486369860172,NA,0.909464337579354,0.962781627318369,0.143272063399859,0.280776731255964,0.208248620389195,0.329239450645201,0.155968632006971,NA,NA,NA,0.377245757437451,0.332641799095473,0.285091904900212,NA,0.458362723538442
"Florida","Northdale CDP",25392,0.48247479521109,0.51752520478891,0.52051827347196,0.647172337744171,0.916706049149338,0.334160365469439,0.191359483301827,0.218336483931947,0.205615942028986,0.128111216131065,0.213649968494014,0.803481411468179,0.707821361058601,0.563327032136106,0.226843100189036,0.26591052299937,0.27583490863264,0.602748897290485
"Florida","Oakleaf Plantation CDP",31680,0.475883838383838,0.524116161616162,0.444065656565657,0.842866161616162,0.95697601010101,0.299242424242424,0.178661616161616,0.326767676767677,0.0733270202020202,0.0371212121212121,NA,NA,0.568686868686869,0.470012626262626,0.194507575757576,0.219002525252525,NA,0.514583333333333
"Florida","Oak Ridge CDP",24986,0.524213559593372,0.475786440406628,0.17041543264228,0.423677259265189,0.734451292723925,0.357680300968542,0.0936924677819579,0.195589530136877,0.0758024493716481,0.0386216281117426,0.0979348435123669,0.621828223805331,NA,0.605619146722164,0.224165532698311,0.121307932442168,0.143640438645642,0.469062675098055
"Florida","Pace CDP",32332,0.438636644810095,0.561363355189905,NA,0.961988123221576,0.978473339106767,0.322033898305085,0.176698008165285,0.326240257330199,0.12804651738216,0.0741989360385995,NA,0.734875664975875,0.567549177285661,0.432883830261042,0.245917357416801,0.227607324013361,0.108653965111963,0.466441915130521
"Florida","Palm River-Clair Mel CDP",25238,0.537483160313812,0.462516839686188,0.259370790078453,0.694706395118472,0.86393533560504,0.338259767017989,0.141849591885252,0.22787067121008,0.0797606783421824,0.0580077660670418,0.237261272684048,0.731674459148903,0.693874316506855,0.518226483873524,0.230604643791109,0.265353831523893,0.0473492352801331,0.467905539266186
"Florida","Palm Valley CDP",21240,0.437570621468927,0.562429378531073,NA,0.918549905838041,0.970715630885122,NA,0.259180790960452,0.184604519774011,0.368973634651601,0.123352165725047,0.385687382297552,0.851412429378531,0.783568738229755,0.439736346516008,0.398399246704331,0.367796610169492,NA,0.528813559322034
"Florida","Panama City Beach city",23428,0.504994024244494,0.495005975755506,0.815477206761141,0.916254054976951,0.965169882192249,0.349112173467646,0.240182687382619,0.213419839508281,0.129545842581526,0.111277104319618,NA,0.697626771384668,0.683711797848728,0.475627454328154,0.3041232712993,0.267415058903876,0.389107051391497,0.468926071367594
"Florida","Pinewood CDP",21965,0.465604370589574,0.534395629410426,0.0452538128841338,0.742135215114956,0.689915775096745,0.323514682449351,0.0870475756885955,0.257045299339859,0.0354199863419076,0.00924197587070339,0.0763032096517186,0.358024129296608,NA,0.435966310038698,0.348554518552242,0.1018893694514,0.0353289323924425,0.439153198269975
